label,cell,size,mode,skip,desc
220530-E1,EMS,6,1,0,only ems
220530-E2,ABpr,6,1,0,on the edge
220530-E3,AB,6,1,0,
220606-E5,AB,6,1,0,poor recoil
220608-E5,AB,6,1,0,poor recoil
220621-E9,P0-A,6,0,1,no offset - skip old
220627-E3,P0-A,6,1,0,only .5 offset
220627-E10,AB,8,1,0,
220704-E2,P0-A,8,1,0,poor
220705-E10,P1,8,1,0,poor recoil
220705-E12,P0-P,8,1,0,poor
220705-E14,P0-A,8,1,0,excellent
220705-E15,P0-P,8,1,1,almost nothing skip
220707-E2,P1,8,1,0,
220711-E3,P1,8,1,0,
220722-E1,P1,8,1,0,poor
220722-E2,AB,8,1,0,
220726-E5,P1,8,1,0,poor
220726-E6,AB,8,1,0,
220811-E1,P0-A,8,1,0,
220811-E2,P0-A,8,1,0,partial repair
220811-E3,P0-P,8,1,0,poor
220816-E1,P0-A,8,1,0,poor
220816-E5,P1,8,1,0,
220816-E6,P0-A,8,1,0,
220816-E7,AB,8,1,0,fast
220825-E3,P0-P,8,1,0,later in retraction
220825-E4,P1,8,1,0,crazy cut
220825-E9,P1,8,1,0,
220825-E10,AB,8,1,0,
220825-E12,P0-P,8,1,0,bad quality
220825-E13,P0-A,8,1,1,delayed - bad expo - skip
220830-E1,P0-P,8,1,1,late - expo unusable - skip
220830-E6,P0-A,8,1,0,
220830-E7,P0-P,8,1,0,
220830-E13,P0-P,8,1,0,poor
220830-E14,P0-A,8,1,0,almost posterior
220906-E1,P0-A,8,1,0,later in retraction
220906-E2,P0-P,8,1,0,
220906-E4,P0-P,8,1,0,aggressive but real
220912-E2,ABar,6,1,0,poor recoil
220912-E3,ABpr,6,1,0,
220912-E5,E,6,1,0,8c
220912-E6,P0-A,8,1,0,partial repair pseudocleavage
220912-E7,P0-P,8,1,0,
220912-E9,ABpr,5,1,0,on the edge
220912-E10,E,5,1,0,
220912-E11,MS,5,1,0,one side
220914-E2,P0-P,8,1,0,poor
220914-E4,P0-A,8,1,0,poor - later in retraction
220914-E6,ABar,5,1,0,
220914-E7,E,5,1,0,strong - MSc
220914-E8,MS,5,1,0,compr - poor
220914-E10,ABpl,5,1,0,dense actin right
